firm_id,display_name,canonical_domain,valid_observation_denominator,named_observations,cited_domain_observations,source_only_observations,observed_observations,complete_cell_denominator,majority_observed_cells,majority_named_cells,majority_cited_cells,query_breadth,query_breadth_denominator,engine_breadth,engine_breadth_denominator,stable_present_cells,variable_cells,stable_absent_cells,per_engine
douglassteers.co.uk,Douglas Steers & Company,douglassteers.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
dwcifa.com,Dennehy Wealth,dwcifa.com,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
eafp.co.uk,East Anglian Financial Planning,eafp.co.uk,225,1,1,1,2,75,0,0,0,0,25,0,3,0,2,73,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
eqinvestors.co.uk,EQ Investors,eqinvestors.co.uk,225,3,0,0,3,75,1,1,0,1,25,1,3,1,0,74,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":1,""majority_observed_cells"":1}]"
ethicalmoney.org,The Ethical Investment Co-operative,ethicalmoney.org,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
evelyn.com,Evelyn Partners,evelyn.com,225,22,5,2,24,75,8,8,1,5,25,3,3,4,8,63,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":5,""majority_observed_cells"":5},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":1,""majority_observed_cells"":1},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":1,""majority_named_cells"":2,""majority_observed_cells"":2}]"
fairstone.co.uk,Fairstone,fairstone.co.uk,225,2,5,3,5,75,1,0,1,1,25,1,3,1,2,72,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":1,""majority_named_cells"":0,""majority_observed_cells"":1}]"
fbwealth.co.uk,FB Wealth Management,fbwealth.co.uk,225,0,0,0,0,75,0,0,0,0,25,0,3,0,0,75,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
fcadvice.co.uk,Flying Colours,fcadvice.co.uk,225,3,7,4,7,75,2,1,2,2,25,1,3,2,1,72,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":2,""majority_named_cells"":1,""majority_observed_cells"":2}]"
fidelius.co.uk,Fidelius,fidelius.co.uk,225,4,0,0,4,75,1,1,0,1,25,1,3,0,3,72,"[{""complete_query_denominator"":25,""engine"":""gemini"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0},{""complete_query_denominator"":25,""engine"":""openai"",""majority_cited_cells"":0,""majority_named_cells"":1,""majority_observed_cells"":1},{""complete_query_denominator"":25,""engine"":""perplexity"",""majority_cited_cells"":0,""majority_named_cells"":0,""majority_observed_cells"":0}]"
